cluster id	num of members	protein name	role_ids	attributes	locus	db
3571	1	hypothetical protein	0		ACX60_RS18495	7978mff
3590	1	ferrous iron transport protein A	0		ACX60_RS18590	7978mff
3591	1	ferrous iron transport protein B	0		ACX60_RS18595	7978mff
3592	1	ArsR family transcriptional regulator	0		ACX60_RS18600	7978mff
3593	1	arsenic resistance protein	0		ACX60_RS18605	7978mff
3594	1	hypothetical protein	0		ACX60_RS18610	7978mff
3595	1	protein TniQ	0		ACX60_RS18625	7978mff
3596	1	transposase	0	FG-Out	ACX60_RS18630	7978mff
3633	1	hypothetical protein	0		ACX60_RS19375	7978mff
3634	1	hypothetical protein	0		ACX60_RS18830	7978mff
3674	1	hypothetical protein	0		ABD1_RS17610	1279779
3692	1	TetR/AcrR family transcriptional regulator	0		ABD1_RS00460	1279779
3693	1	MFS transporter	0		ABD1_RS00465	1279779
3694	1	diaminopimelate decarboxylase	0		ABD1_RS00570	1279779
3695	1	acyl-CoA synthetase	0		ABD1_RS00575	1279779
3696	1	alpha/beta hydrolase	0		ABD1_RS00580	1279779
3697	1	ribulose-phosphate 3-epimerase	0		ABD1_RS00585	1279779
3698	1	uroporphyrinogen decarboxylase	0		ABD1_RS00590	1279779
3699	1	MarR family transcriptional regulator	0		ABD1_RS00595	1279779
3705	1	hypothetical protein	0		ABD1_RS02775	1279779
3706	1	hypothetical protein	0		ABD1_RS17620	1279779
3707	1	hypothetical protein	0		ABD1_RS02800	1279779
3708	1	hypothetical protein	0		ABD1_RS02805	1279779
3709	1	hypothetical protein	0		ABD1_RS02810	1279779
3710	1	Lrp/AsnC family transcriptional regulator	0		ABD1_RS02815	1279779
3711	1	hypothetical protein	0		ABD1_RS02820	1279779
3712	1	amino acid permease	0		ABD1_RS02825	1279779
3713	1	Glu/Leu/Phe/Val dehydrogenase	0		ABD1_RS02830	1279779
3714	1	aspartate aminotransferase family protein	0		ABD1_RS02835	1279779
3715	1	arginine N-succinyltransferase	0		ABD1_RS02840	1279779
3716	1	succinylglutamate-semialdehyde dehydrogenase	0		ABD1_RS02845	1279779
3717	1	succinylglutamate desuccinylase	0		ABD1_RS02850	1279779
3718	1	MFS transporter	0		ABD1_RS02855	1279779
3719	1	glyoxylate/hydroxypyruvate reductase A	0		ABD1_RS02865	1279779
3720	1	Zn-dependent hydrolase	0		ABD1_RS02870	1279779
3721	1	histone deacetylase family protein	0		ABD1_RS02875	1279779
3722	1	LysR family transcriptional regulator	0		ABD1_RS02880	1279779
3723	1	hypothetical protein	0		ABD1_RS02885	1279779
3724	1	hypothetical protein	0		ABD1_RS02895	1279779
3727	1	hypothetical protein	0		ABD1_RS02940	1279779
3728	1	restriction endonuclease subunit S	0		ABD1_RS02950	1279779
3729	1	hypothetical protein	0		ABD1_RS02955	1279779
3730	1	DUF4276 domain-containing protein	0		ABD1_RS02960	1279779
3731	1	type I restriction endonuclease subunit R	0		ABD1_RS02965	1279779
3736	1	hypothetical protein	0		ABD1_RS03590	1279779
3737	1	His-Xaa-Ser system radical SAM maturase HxsB	0		ABD1_RS03595	1279779
3738	1	His-Xaa-Ser system radical SAM maturase HxsC	0		ABD1_RS03600	1279779
3739	1	His-Xaa-Ser repeat protein HxsA	0		ABD1_RS03605	1279779
3740	1	hypothetical protein	0		ABD1_RS03610	1279779
3747	1	hypothetical protein	0		ABD1_RS04455	1279779
3748	1	DUF3987 domain-containing protein	0		ABD1_RS04465	1279779
3765	1	hypothetical protein	0		ABD1_RS05265	1279779
3770	1	hypothetical protein	0		ABD1_RS05350	1279779
3773	1	IS5-like element ISAba13 family transposase	0		ABD1_RS05370	1279779
3774	1	hypothetical protein	0		ABD1_RS05380	1279779
3788	1	hypothetical protein	0		ABD1_RS05770	1279779
3812	1	hypothetical protein	0		ABD1_RS05940	1279779
3813	1	hypothetical protein	0		ABD1_RS05945	1279779
3814	1	hypothetical protein	0		ABD1_RS05950	1279779
3815	1	hypothetical protein	0		ABD1_RS05955	1279779
3816	1	hypothetical protein	0		ABD1_RS05960	1279779
3817	1	hypothetical protein	0		ABD1_RS05965	1279779
3818	1	hypothetical protein	0		ABD1_RS05970	1279779
3819	1	hypothetical protein	0		ABD1_RS05975	1279779
3820	1	hypothetical protein	0		ABD1_RS05985	1279779
3821	1	hypothetical protein	0		ABD1_RS05990	1279779
3822	1	hypothetical protein	0		ABD1_RS06010	1279779
3823	1	hypothetical protein	0		ABD1_RS06015	1279779
3824	1	hypothetical protein	0		ABD1_RS06020	1279779
3825	1	hypothetical protein	0		ABD1_RS17740	1279779
3826	1	hypothetical protein	0	FG-Out	ABD1_RS06025	1279779
3828	1	hypothetical protein	0		ABD1_RS06055	1279779
3829	1	hypothetical protein	0		ABD1_RS06060	1279779
3833	1	hypothetical protein	0		ABD1_RS06090	1279779
3834	1	hypothetical protein	0		ABD1_RS06095	1279779
3835	1	DNA (cytosine-5-)-methyltransferase	0		ABD1_RS06455	1279779
3836	1	ATP-binding protein	0		ABD1_RS06460	1279779
3837	1	hypothetical protein	0		ABD1_RS06465	1279779
3838	1	very short patch repair endonuclease	0		ABD1_RS06470	1279779
3850	1	IS5-like element ISAba13 family transposase	0		ABD1_RS06810	1279779
3851	1	hypothetical protein	0		ABD1_RS06990	1279779
3855	1	ankyrin repeat domain-containing protein	0		ABD1_RS07015	1279779
3859	1	IS5-like element ISAba13 family transposase	0		ABD1_RS07400	1279779
3892	1	IS5-like element ISAba13 family transposase	0		ABD1_RS09065	1279779
3893	1	hypothetical protein	0		ABD1_RS09120	1279779
3894	1	hypothetical protein	0		ABD1_RS09125	1279779
3895	1	hypothetical protein	0		ABD1_RS09130	1279779
3898	1	hypothetical protein	0		ABD1_RS09195	1279779
3899	1	DUF4236 domain-containing protein	0		ABD1_RS09200	1279779
3900	1	hypothetical protein	0		ABD1_RS09205	1279779
3901	1	hypothetical protein	0		ABD1_RS09210	1279779
3903	1	hypothetical protein	0		ABD1_RS09220	1279779
3904	1	sugar phosphate isomerase/epimerase	0		ABD1_RS09250	1279779
3905	1	alpha/beta hydrolase	0		ABD1_RS09255	1279779
3906	1	alpha/beta hydrolase	0		ABD1_RS09260	1279779
3908	1	IS5-like element ISAba13 family transposase	0		ABD1_RS09360	1279779
3913	1	hypothetical protein	0		ABD1_RS09425	1279779
3914	1	hypothetical protein	0		ABD1_RS09430	1279779
3919	1	IS5-like element ISAba13 family transposase	0		ABD1_RS10745	1279779
3928	1	TIR domain-containing protein	0		ABD1_RS13815	1279779
3930	1	hypothetical protein	0		ABD1_RS13915	1279779
3932	1	hypothetical protein	0		ABD1_RS13930	1279779
3937	1	fosfomycin resistance glutathione transferase	0		ABD1_RS16215	1279779
3947	1	TetR/AcrR family transcriptional regulator	0		ABD1_RS16300	1279779
3948	1	efflux RND transporter periplasmic adaptor subunit	0		ABD1_RS16305	1279779
3949	1	hypothetical protein	0		ABD1_RS16330	1279779
3950	1	hypothetical protein	0		ABD1_RS17925	1279779
3951	1	DUF1311 domain-containing protein	0		ABD1_RS16335	1279779
3952	1	hypothetical protein	0		ABD1_RS16340	1279779
3953	1	hypothetical protein	0		ABD1_RS16345	1279779
3954	1	hypothetical protein	0		ABD1_RS16350	1279779
3955	1	WYL domain-containing protein	0		ABD1_RS16355	1279779
3956	1	hypothetical protein	0		ABD1_RS16360	1279779
3971	1	IS30 family transposase	0		RR41_RS00635	LAC4b
3977	1	IS5 family transposase ISAba13	0		RR41_RS01030	LAC4b
3981	1	IS5 family transposase ISAba13	0		RR41_RS01850	LAC4b
3983	1	IS5 family transposase ISAba13	0		RR41_RS01930	LAC4b
3986	1	IS256 family transposase ISAba26	0		RR41_RS02475	LAC4b
3988	1	IS256 family transposase ISAba26	0		RR41_RS02715	LAC4b
3989	1	IS256 family transposase ISAba26	0		RR41_RS02820	LAC4b
3990	1	IS66 family insertion sequence hypothetical protein	0		RR41_RS02835	LAC4b
3991	1	IS66 family insertion sequence hypothetical protein	0		RR41_RS02840	LAC4b
3992	1	IS66 family transposase ISAba25	0		RR41_RS02845	LAC4b
3997	1	IS256 family transposase ISAba26	0		RR41_RS03805	LAC4b
3998	1	IS66 family insertion sequence hypothetical protein	0		RR41_RS03845	LAC4b
3999	1	IS66 family insertion sequence hypothetical protein	0		RR41_RS03850	LAC4b
4000	1	IS66 family transposase ISAba25	0		RR41_RS03855	LAC4b
4001	1	IS66 family transposase ISAba25	0		RR41_RS03895	LAC4b
4002	1	IS66 family insertion sequence hypothetical protein	0		RR41_RS03900	LAC4b
4003	1	IS66 family insertion sequence hypothetical protein	0		RR41_RS03905	LAC4b
4004	1	IS30 family transposase	0		RR41_RS04100	LAC4b
4005	1	hypothetical protein	0		RR41_RS04350	LAC4b
4006	1	IS30 family transposase	0		RR41_RS04390	LAC4b
4008	1	IS30 family transposase	0		RR41_RS04450	LAC4b
4009	1	IS66 family transposase ISAba25	0		RR41_RS04560	LAC4b
4010	1	IS66 family insertion sequence hypothetical protein	0		RR41_RS04565	LAC4b
4011	1	IS66 family insertion sequence hypothetical protein	0		RR41_RS04570	LAC4b
4012	1	IS30 family transposase	0		RR41_RS04910	LAC4b
4015	1	hypothetical protein	0		RR41_RS05420	LAC4b
4016	1	hypothetical protein	0		RR41_RS05425	LAC4b
4017	1	DNA replication protein	0		RR41_RS05860	LAC4b
4022	1	hypothetical protein	0		RR41_RS05885	LAC4b
4023	1	hypothetical protein	0		RR41_RS05890	LAC4b
4025	1	hypothetical protein	0		RR41_RS05900	LAC4b
4033	1	DUF2829 domain-containing protein	0		RR41_RS05940	LAC4b
4041	1	hypothetical protein	0		RR41_RS05980	LAC4b
4045	1	DNA recombination protein RecF	0		RR41_RS06005	LAC4b
4046	1	HNH endonuclease	0		RR41_RS06010	LAC4b
4047	1	hypothetical protein	0		RR41_RS06015	LAC4b
4066	1	IS5 family transposase ISAba13	0		RR41_RS07005	LAC4b
4067	1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-235	0		RR41_RS07100	LAC4b
4068	1	IS66 family insertion sequence hypothetical protein	0		RR41_RS07295	LAC4b
4069	1	IS66 family insertion sequence hypothetical protein	0		RR41_RS07300	LAC4b
4070	1	IS66 family transposase ISAba25	0		RR41_RS07305	LAC4b
4075	1	ATPase AAA	0		RR41_RS07535	LAC4b
4079	1	IS5 family transposase ISAba13	0		RR41_RS07560	LAC4b
4080	1	phage repressor protein	0		RR41_RS07570	LAC4b
4084	1	hypothetical protein	0		RR41_RS07750	LAC4b
4086	1	hypothetical protein	0		RR41_RS07780	LAC4b
4087	1	hypothetical protein	0		RR41_RS07785	LAC4b
4088	1	hypothetical protein	0		RR41_RS07790	LAC4b
4089	1	hypothetical protein	0		RR41_RS07795	LAC4b
4090	1	hypothetical protein	0		RR41_RS07800	LAC4b
4091	1	IS5 family transposase ISAba13	0		RR41_RS07805	LAC4b
4092	1	hypothetical protein	0		RR41_RS07810	LAC4b
4095	1	hypothetical protein	0		RR41_RS07830	LAC4b
4096	1	integrase	0		RR41_RS08125	LAC4b
4097	1	hypothetical protein	0		RR41_RS19315	LAC4b
4098	1	hypothetical protein	0		RR41_RS08130	LAC4b
4099	1	hypothetical protein	0		RR41_RS08135	LAC4b
4100	1	hypothetical protein	0		RR41_RS08140	LAC4b
4101	1	RusA family crossover junction endodeoxyribonuclease	0		RR41_RS08145	LAC4b
4102	1	XRE family transcriptional regulator	0		RR41_RS08150	LAC4b
4103	1	hypothetical protein	0		RR41_RS08155	LAC4b
4104	1	hypothetical protein	0		RR41_RS08160	LAC4b
4105	1	hypothetical protein	0		RR41_RS08165	LAC4b
4106	1	tail tape measure protein	0		RR41_RS08170	LAC4b
4108	1	IS5 family transposase ISAba13	0		RR41_RS08185	LAC4b
4109	1	hypothetical protein	0		RR41_RS08190	LAC4b
4110	1	hypothetical protein	0		RR41_RS08195	LAC4b
4111	1	recombinase	0		RR41_RS08205	LAC4b
4112	1	hypothetical protein	0		RR41_RS08210	LAC4b
4113	1	hypothetical protein	0		RR41_RS08215	LAC4b
4114	1	hypothetical protein	0		RR41_RS08220	LAC4b
4115	1	hypothetical protein	0		RR41_RS08225	LAC4b
4116	1	hypothetical protein	0		RR41_RS08230	LAC4b
4117	1	hypothetical protein	0		RR41_RS08235	LAC4b
4118	1	hypothetical protein	0		RR41_RS08240	LAC4b
4119	1	hypothetical protein	0		RR41_RS08245	LAC4b
4120	1	conjugal transfer protein TraR	0		RR41_RS08250	LAC4b
4121	1	hypothetical protein	0		RR41_RS08255	LAC4b
4122	1	terminase	0		RR41_RS08260	LAC4b
4123	1	hypothetical protein	0		RR41_RS08265	LAC4b
4124	1	hypothetical protein	0		RR41_RS08270	LAC4b
4125	1	hypothetical protein	0		RR41_RS08275	LAC4b
4126	1	hypothetical protein	0		RR41_RS08280	LAC4b
4127	1	hypothetical protein	0		RR41_RS08285	LAC4b
4128	1	hypothetical protein	0		RR41_RS08290	LAC4b
4129	1	hypothetical protein	0		RR41_RS08295	LAC4b
4130	1	hypothetical protein	0		RR41_RS08300	LAC4b
4131	1	hypothetical protein	0		RR41_RS08305	LAC4b
4132	1	hypothetical protein	0		RR41_RS08310	LAC4b
4133	1	hypothetical protein	0		RR41_RS08315	LAC4b
4134	1	hypothetical protein	0		RR41_RS08320	LAC4b
4135	1	hypothetical protein	0		RR41_RS08325	LAC4b
4158	1	LysM domain-containing protein	0		RR41_RS08445	LAC4b
4159	1	XRE family transcriptional regulator	0		RR41_RS08450	LAC4b
4170	1	IS5 family transposase ISAba13	0		RR41_RS08755	LAC4b
4173	1	IS30 family transposase	0		RR41_RS08785	LAC4b
4174	1	long-chain fatty acid transporter	0		RR41_RS09090	LAC4b
4175	1	bifunctional phosphoserine phosphatase/homoserine phosphotransferase ThrH	0		RR41_RS09095	LAC4b
4176	1	phosphoadenylyl-sulfate reductase	0		RR41_RS09100	LAC4b
4177	1	DUF559 domain-containing protein	0		RR41_RS09120	LAC4b
4179	1	IS256 family transposase ISAba26	0		RR41_RS09205	LAC4b
4181	1	transcriptional regulator	0		RR41_RS09385	LAC4b
4182	1	IS66 family transposase ISAba25	0		RR41_RS09390	LAC4b
4183	1	IS66 family insertion sequence hypothetical protein	0		RR41_RS09395	LAC4b
4184	1	IS66 family insertion sequence hypothetical protein	0		RR41_RS09400	LAC4b
4185	1	Txe/YoeB family addiction module toxin	0		RR41_RS09405	LAC4b
4186	1	type II toxin-antitoxin system prevent-host-death family antitoxin	0		RR41_RS09410	LAC4b
4203	1	hypothetical protein	0		RR41_RS09495	LAC4b
4204	1	hypothetical protein	0		RR41_RS09500	LAC4b
4210	1	RecQ family ATP-dependent DNA helicase	0		RR41_RS09530	LAC4b
4211	1	hypothetical protein	0		RR41_RS09535	LAC4b
4225	1	IS30 family transposase	0		RR41_RS09635	LAC4b
4229	1	IS66 family insertion sequence hypothetical protein	0		RR41_RS09655	LAC4b
4230	1	IS66 family insertion sequence hypothetical protein	0		RR41_RS09660	LAC4b
4234	1	IS256 family transposase ISAba26	0		RR41_RS10045	LAC4b
4235	1	IS30 family transposase	0		RR41_RS10110	LAC4b
4236	1	RHS repeat protein	0		RR41_RS10115	LAC4b
4237	1	RHS repeat protein	0		RR41_RS10120	LAC4b
4238	1	RHS repeat protein	0		RR41_RS10125	LAC4b
4244	1	IS256 family transposase ISAba26	0		RR41_RS10580	LAC4b
4270	1	IS30 family transposase	0		RR41_RS11195	LAC4b
4271	1	IS66 family insertion sequence hypothetical protein	0		RR41_RS11680	LAC4b
4272	1	IS66 family insertion sequence hypothetical protein	0		RR41_RS11685	LAC4b
4273	1	IS66 family transposase ISAba25	0		RR41_RS11690	LAC4b
4274	1	hypothetical protein	0		RR41_RS11765	LAC4b
4275	1	IS30 family transposase	0		RR41_RS12165	LAC4b
4276	1	IS256 family transposase ISAba26	0		RR41_RS12300	LAC4b
4277	1	IS66 family insertion sequence hypothetical protein	0		RR41_RS12635	LAC4b
4278	1	IS66 family insertion sequence hypothetical protein	0		RR41_RS12640	LAC4b
4279	1	IS66 family transposase ISAba25	0		RR41_RS12645	LAC4b
4281	1	IS66 family transposase ISAba25	0		RR41_RS13090	LAC4b
4282	1	IS66 family insertion sequence hypothetical protein	0		RR41_RS13095	LAC4b
4283	1	IS66 family insertion sequence hypothetical protein	0		RR41_RS13100	LAC4b
4284	1	IS30 family transposase	0		RR41_RS13115	LAC4b
4299	1	hypothetical protein	0		RR41_RS13250	LAC4b
4300	1	IS5 family transposase ISAba13	0		RR41_RS13415	LAC4b
4302	1	IS5 family transposase ISAba13	0		RR41_RS13430	LAC4b
4305	1	IS66 family transposase ISAba25	0		RR41_RS14190	LAC4b
4306	1	IS66 family insertion sequence hypothetical protein	0		RR41_RS14195	LAC4b
4307	1	IS66 family insertion sequence hypothetical protein	0		RR41_RS14200	LAC4b
4308	1	IS5 family transposase ISAba13	0		RR41_RS14205	LAC4b
4309	1	DNA polymerase V	0		RR41_RS14215	LAC4b
4310	1	DNA polymerase	0		RR41_RS14220	LAC4b
4311	1	hypothetical protein	0		RR41_RS14225	LAC4b
4312	1	hypothetical protein	0		RR41_RS14230	LAC4b
4313	1	hypothetical protein	0		RR41_RS14235	LAC4b
4314	1	IS5 family transposase ISAba13	0		RR41_RS14240	LAC4b
4315	1	hypothetical protein	0		RR41_RS14245	LAC4b
4317	1	hypothetical protein	0		RR41_RS14255	LAC4b
4318	1	IS256 family transposase ISAba26	0		RR41_RS14260	LAC4b
4319	1	TIGR02594 family protein	0		RR41_RS14265	LAC4b
4320	1	hypothetical protein	0		RR41_RS14270	LAC4b
4321	1	hypothetical protein	0		RR41_RS14275	LAC4b
4322	1	hypothetical protein	0		RR41_RS14280	LAC4b
4323	1	hypothetical protein	0		RR41_RS14285	LAC4b
4324	1	hypothetical protein	0		RR41_RS14290	LAC4b
4328	1	hypothetical protein	0		RR41_RS14310	LAC4b
4329	1	hypothetical protein	0		RR41_RS14315	LAC4b
4330	1	hypothetical protein	0		RR41_RS14320	LAC4b
4331	1	IS30 family transposase	0		RR41_RS14330	LAC4b
4332	1	hypothetical protein	0		RR41_RS14340	LAC4b
4333	1	hypothetical protein	0		RR41_RS14345	LAC4b
4334	1	hypothetical protein	0		RR41_RS14350	LAC4b
4335	1	hypothetical protein	0		RR41_RS14355	LAC4b
4336	1	IS256 family transposase ISAba26	0		RR41_RS14365	LAC4b
4337	1	hypothetical protein	0	FG-Out	RR41_RS14370	LAC4b
4338	1	hypothetical protein	0		RR41_RS14375	LAC4b
4365	1	IS5 family transposase ISAba13	0		RR41_RS14510	LAC4b
4367	1	IS5/IS1182 family transposase	0		RR41_RS14520	LAC4b
4376	1	hypothetical protein	0		RR41_RS14570	LAC4b
4377	1	hypothetical protein	0		RR41_RS14575	LAC4b
4425	1	IS256 family transposase ISAba26	0		RR41_RS16300	LAC4b
4428	1	IS66 family transposase ISAba25	0		RR41_RS16580	LAC4b
4429	1	IS66 family insertion sequence hypothetical protein	0		RR41_RS16585	LAC4b
4430	1	IS66 family insertion sequence hypothetical protein	0		RR41_RS16590	LAC4b
4433	1	IS256 family transposase ISAba26	0		RR41_RS16955	LAC4b
4434	1	IS5 family transposase ISAba13	0		RR41_RS18205	LAC4b
4436	1	IS5 family transposase ISAba13	0		RR41_RS18435	LAC4b
4441	1	hypothetical protein	0		RR41_RS18585	LAC4b
4442	1	short-chain dehydrogenase/reductase	0		RR41_RS18595	LAC4b
4444	1	gfo/Idh/MocA family oxidoreductase	0		RR41_RS18605	LAC4b
4451	1	IS256 family transposase ISAba26	0		RR41_RS18940	LAC4b
4452	1	ATP-binding protein	0		RR41_RS19070	LAC4b
4453	1	aminoglycoside nucleotidyltransferase ANT(2'')-Ia	0		RR41_RS19080	LAC4b
4454	1	hypothetical protein	0		RR41_RS19090	LAC4b
4455	1	hypothetical protein	0		RR41_RS19095	LAC4b
4456	1	plasmid mobilization relaxosome protein MobC	0		RR41_RS19100	LAC4b
4457	1	hypothetical protein	0		RR41_RS19105	LAC4b
4458	1	IS30 family transposase	0		AB987_RS00130	B8300
4459	1	oxidoreductase	0		AB987_RS00140	B8300
4460	1	aromatic-ring-hydroxylating dioxygenase	0		AB987_RS00145	B8300
4461	1	aromatic ring-hydroxylating dioxygenase subunit alpha	0		AB987_RS00150	B8300
4462	1	nuclear transport factor 2 family protein	0		AB987_RS00155	B8300
4463	1	amidase	0		AB987_RS00160	B8300
4465	1	IS256 family transposase	0		AB987_RS00270	B8300
4466	1	IS5 family transposase	0		AB987_RS00330	B8300
4467	1	hypothetical protein	0		AB987_RS00365	B8300
4470	1	IS5-like element ISAba13 family transposase	0		AB987_RS00420	B8300
4471	1	hypothetical protein	0		AB987_RS00425	B8300
4472	1	hypothetical protein	0		AB987_RS00430	B8300
4473	1	IS30 family transposase	0		AB987_RS00440	B8300
4474	1	hypothetical protein	0		AB987_RS00450	B8300
4475	1	hypothetical protein	0		AB987_RS00455	B8300
4476	1	hypothetical protein	0		AB987_RS00460	B8300
4477	1	hypothetical protein	0		AB987_RS00465	B8300
4478	1	IS3-like element ISAba22 family transposase	0		AB987_RS00470	B8300
4479	1	hypothetical protein	0		AB987_RS00480	B8300
4480	1	DUF4424 domain-containing protein	0		AB987_RS00525	B8300
4482	1	IS5-like element ISAba13 family transposase	0		AB987_RS00540	B8300
4483	1	hypothetical protein	0		AB987_RS00550	B8300
4484	1	IS5 family transposase	0		AB987_RS00555	B8300
4485	1	IS5-like element ISAba13 family transposase	0		AB987_RS00560	B8300
