cluster id	num of members	protein name	centroid genome	centroid locus	role_ids	attributes	7978mff	1279779	LAC4b	B8300	A1296	HWBA8	AB031	ab736	manniia	KAB07	bH12OA2	A1	JAB0715	OMTU433	3207	6200	B8342	ABNIH28	ZW851	
11	19	iron-sulfur cluster insertion protein ErpA	7978mff	ACX60_RS00055	0		ACX60_RS00055	ABD1_RS00055	RR41_RS00055	AB987_RS07290	BS103_RS00055	B7L46_RS08800	IX88_RS02125	A4U85_RS00055	ABCIP7010_RS00055	KAB07_RS19065	LX00_RS00025	ABA1_RS00020	BJAB0715_RS00045	IOMTU433_RS00070	Aba3207_RS11290	RU84_RS00055	AB895_RS07480	C2U32_RS14450	P795_RS00055	
12	19	alpha/beta hydrolase	AB031	IX88_RS02120	0		ACX60_RS00060	ABD1_RS00060	RR41_RS00060	AB987_RS07285	BS103_RS00060	B7L46_RS08795	IX88_RS02120	A4U85_RS00060	ABCIP7010_RS00060	KAB07_RS19060	LX00_RS00020	ABA1_RS00015	BJAB0715_RS00040	IOMTU433_RS00075	Aba3207_RS11285	RU84_RS00060	AB895_RS07485	C2U32_RS14455	P795_RS00060	
13	19	anhydro-N-acetylmuramic acid kinase	1279779	ABD1_RS00065	0		ACX60_RS00065	ABD1_RS00065	RR41_RS00065	AB987_RS07280	BS103_RS00065	B7L46_RS08790	IX88_RS02115	A4U85_RS00065	ABCIP7010_RS00065	KAB07_RS19055	LX00_RS00015	ABA1_RS00010	BJAB0715_RS00035	IOMTU433_RS00080	Aba3207_RS11280	RU84_RS00065	AB895_RS07490	C2U32_RS14460	P795_RS00065	
14	19	tyrosine--tRNA ligase	7978mff	ACX60_RS00070	0		ACX60_RS00070	ABD1_RS00070	RR41_RS00070	AB987_RS07275	BS103_RS00070	B7L46_RS08785	IX88_RS02110	A4U85_RS00070	ABCIP7010_RS00070	KAB07_RS19050	LX00_RS00010	ABA1_RS00005	BJAB0715_RS00030	IOMTU433_RS00085	Aba3207_RS11275	RU84_RS00070	AB895_RS07495	C2U32_RS14465	P795_RS00070	
15	17	glutathione S-transferase family protein	1279779	ABD1_RS17365	0		ACX60_RS00100	ABD1_RS17365	RR41_RS00100	AB987_RS07540	BS103_RS17550	B7L46_RS08750	IX88_RS02080	A4U85_RS00105		KAB07_RS19020		ABA1_RS18600	BJAB0715_RS19225	IOMTU433_RS00115	Aba3207_RS11240	RU84_RS00105	AB895_RS07230	C2U32_RS14160	P795_RS00105	
16	19	membrane protein	7978mff	ACX60_RS00105	0		ACX60_RS00105	ABD1_RS17360	RR41_RS00105	AB987_RS07545	BS103_RS17545	B7L46_RS08745	IX88_RS02075	A4U85_RS00110	ABCIP7010_RS18090	KAB07_RS19015	LX00_RS18335	ABA1_RS18595	BJAB0715_RS19220	IOMTU433_RS00120	Aba3207_RS11235	RU84_RS00110	AB895_RS07225	C2U32_RS14155	P795_RS00110	
17	18	sodium-dependent transporter	7978mff	ACX60_RS00110	0		ACX60_RS00110	ABD1_RS17355	RR41_RS00110	AB987_RS07550	BS103_RS17540	B7L46_RS08740	IX88_RS02070	A4U85_RS00115	ABCIP7010_RS18085		LX00_RS18330	ABA1_RS18590	BJAB0715_RS19215	IOMTU433_RS00125	Aba3207_RS11230	RU84_RS00115	AB895_RS07220	C2U32_RS14150	P795_RS00115	
18	19	putative methionine/alanine importer small subunit	7978mff	ACX60_RS00115	0		ACX60_RS00115	ABD1_RS17350	RR41_RS00115	AB987_RS07555	BS103_RS17535	B7L46_RS08735	IX88_RS02065	A4U85_RS00120	ABCIP7010_RS18080	KAB07_RS18990	LX00_RS18325	ABA1_RS18585	BJAB0715_RS19210	IOMTU433_RS00130	Aba3207_RS11225	RU84_RS00120	AB895_RS07215	C2U32_RS14145	P795_RS00120	
19	19	16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB	1279779	ABD1_RS17345	0		ACX60_RS00120	ABD1_RS17345	RR41_RS00120	AB987_RS07560	BS103_RS17530	B7L46_RS08730	IX88_RS02060	A4U85_RS00125	ABCIP7010_RS18075	KAB07_RS18985	LX00_RS18320	ABA1_RS18580	BJAB0715_RS19205	IOMTU433_RS00135	Aba3207_RS11220	RU84_RS00125	AB895_RS07210	C2U32_RS14140	P795_RS00125	
20	19	methionyl-tRNA formyltransferase	7978mff	ACX60_RS00125	0		ACX60_RS00125	ABD1_RS17340	RR41_RS00125	AB987_RS07565	BS103_RS17525	B7L46_RS08725	IX88_RS02055	A4U85_RS00130	ABCIP7010_RS18070	KAB07_RS18980	LX00_RS18315	ABA1_RS18575	BJAB0715_RS19200	IOMTU433_RS00140	Aba3207_RS11215	RU84_RS00130	AB895_RS07205	C2U32_RS14135	P795_RS00130	
21	19	dihydroxy-acid dehydratase	7978mff	ACX60_RS00130	0		ACX60_RS00130	ABD1_RS17335	RR41_RS00130	AB987_RS07570	BS103_RS17520	B7L46_RS08720	IX88_RS02050	A4U85_RS00135	ABCIP7010_RS18065	KAB07_RS18975	LX00_RS18310	ABA1_RS18570	BJAB0715_RS19195	IOMTU433_RS00145	Aba3207_RS11210	RU84_RS00135	AB895_RS07200	C2U32_RS14130	P795_RS00135	
22	19	hypothetical protein	7978mff	ACX60_RS00135	0		ACX60_RS00135	ABD1_RS17330	RR41_RS00135	AB987_RS07575	BS103_RS17515	B7L46_RS08715	IX88_RS02045	A4U85_RS00140	ABCIP7010_RS18060	KAB07_RS18970	LX00_RS18305	ABA1_RS18565	BJAB0715_RS19190	IOMTU433_RS00150	Aba3207_RS11205	RU84_RS00140	AB895_RS07195	C2U32_RS14125	P795_RS00140	
23	19	sulfite exporter TauE/SafE family protein	1279779	ABD1_RS17325	0		ACX60_RS00140	ABD1_RS17325	RR41_RS00140	AB987_RS07580	BS103_RS17510	B7L46_RS08710	IX88_RS02040	A4U85_RS00145	ABCIP7010_RS18055	KAB07_RS18965	LX00_RS18300	ABA1_RS18560	BJAB0715_RS19185	IOMTU433_RS00155	Aba3207_RS11200	RU84_RS00145	AB895_RS07190	C2U32_RS14120	P795_RS00145	
24	19	LysR family transcriptional regulator	AB031	IX88_RS02035	0		ACX60_RS00145	ABD1_RS17320	RR41_RS00145	AB987_RS07585	BS103_RS17505	B7L46_RS08705	IX88_RS02035	A4U85_RS00150	ABCIP7010_RS18050	KAB07_RS18960	LX00_RS18295	ABA1_RS18555	BJAB0715_RS19180	IOMTU433_RS00160	Aba3207_RS11195	RU84_RS00150	AB895_RS07185	C2U32_RS14115	P795_RS00150	
25	19	pyrimidine permease	B8300	AB987_RS07590	0		ACX60_RS00150	ABD1_RS17315	RR41_RS00150	AB987_RS07590	BS103_RS17500	B7L46_RS08700	IX88_RS02030	A4U85_RS00155	ABCIP7010_RS18045	KAB07_RS18955	LX00_RS18290	ABA1_RS18550	BJAB0715_RS19175	IOMTU433_RS00165	Aba3207_RS11190	RU84_RS00155	AB895_RS07180	C2U32_RS14110	P795_RS00155	
26	19	phosphoenolpyruvate carboxylase	A1296	BS103_RS17495	0		ACX60_RS00155	ABD1_RS17310	RR41_RS00155	AB987_RS07595	BS103_RS17495	B7L46_RS08695	IX88_RS02025	A4U85_RS00160	ABCIP7010_RS18040	KAB07_RS18950	LX00_RS18285	ABA1_RS18545	BJAB0715_RS19170	IOMTU433_RS00170	Aba3207_RS11185	RU84_RS00160	AB895_RS07175	C2U32_RS14105	P795_RS00160	
27	19	TetR/AcrR family transcriptional regulator	AB031	IX88_RS02020	0		ACX60_RS00160	ABD1_RS17305	RR41_RS00160	AB987_RS07600	BS103_RS17490	B7L46_RS08690	IX88_RS02020	A4U85_RS00165	ABCIP7010_RS18035	KAB07_RS18945	LX00_RS18280	ABA1_RS18540	BJAB0715_RS19165	IOMTU433_RS00175	Aba3207_RS11180	RU84_RS00165	AB895_RS07170	C2U32_RS14100	P795_RS00165	
28	19	efflux RND transporter periplasmic adaptor subunit	OMTU433	IOMTU433_RS00180	0		ACX60_RS00165	ABD1_RS17300	RR41_RS00165	AB987_RS07605	BS103_RS17485	B7L46_RS08685	IX88_RS02015	A4U85_RS00170	ABCIP7010_RS18030	KAB07_RS18940	LX00_RS18275	ABA1_RS18535	BJAB0715_RS19160	IOMTU433_RS00180	Aba3207_RS11175	RU84_RS00170	AB895_RS07165	C2U32_RS14095	P795_RS00170	
29	19	AcrB/AcrD/AcrF family protein	KAB07	KAB07_RS18935	0		ACX60_RS00170	ABD1_RS17295	RR41_RS00170	AB987_RS07610	BS103_RS17480	B7L46_RS08680	IX88_RS02010	A4U85_RS00175	ABCIP7010_RS18025	KAB07_RS18935	LX00_RS18270	ABA1_RS18530	BJAB0715_RS19155	IOMTU433_RS00185	Aba3207_RS11170	RU84_RS00175	AB895_RS07160	C2U32_RS14090	P795_RS00175	
30	19	hypothetical protein	7978mff	ACX60_RS00175	0		ACX60_RS00175	ABD1_RS17290	RR41_RS00175	AB987_RS07615	BS103_RS17475	B7L46_RS08675	IX88_RS02005	A4U85_RS00180	ABCIP7010_RS18020	KAB07_RS18930	LX00_RS18265	ABA1_RS18525	BJAB0715_RS19150	IOMTU433_RS00190	Aba3207_RS11165	RU84_RS00180	AB895_RS07155	C2U32_RS14085	P795_RS00180	
31	19	molecular chaperone DnaJ	7978mff	ACX60_RS00180	0		ACX60_RS00180	ABD1_RS17285	RR41_RS00180	AB987_RS07620	BS103_RS17470	B7L46_RS08670	IX88_RS02000	A4U85_RS00185	ABCIP7010_RS18015	KAB07_RS18925	LX00_RS18260	ABA1_RS18520	BJAB0715_RS19145	IOMTU433_RS00195	Aba3207_RS11160	RU84_RS00185	AB895_RS07150	C2U32_RS14080	P795_RS00185	
32	19	hypothetical protein	OMTU433	IOMTU433_RS00200	0		ACX60_RS00185	ABD1_RS17280	RR41_RS00185	AB987_RS07625	BS103_RS17465	B7L46_RS08665	IX88_RS01995	A4U85_RS00190	ABCIP7010_RS18010	KAB07_RS18920	LX00_RS18255	ABA1_RS18515	BJAB0715_RS19140	IOMTU433_RS00200	Aba3207_RS11155	RU84_RS00190	AB895_RS07145	C2U32_RS14075	P795_RS00190	
33	19	4-hydroxy-tetrahydrodipicolinate reductase	7978mff	ACX60_RS00190	0		ACX60_RS00190	ABD1_RS17275	RR41_RS00190	AB987_RS07630	BS103_RS17460	B7L46_RS08660	IX88_RS01990	A4U85_RS00195	ABCIP7010_RS18005	KAB07_RS18915	LX00_RS18250	ABA1_RS18510	BJAB0715_RS19135	IOMTU433_RS00205	Aba3207_RS11150	RU84_RS00195	AB895_RS07140	C2U32_RS14070	P795_RS00195	
34	19	hypothetical protein	7978mff	ACX60_RS00195	0		ACX60_RS00195	ABD1_RS17270	RR41_RS00195	AB987_RS07635	BS103_RS17455	B7L46_RS08655	IX88_RS01985	A4U85_RS00200	ABCIP7010_RS18000	KAB07_RS18910	LX00_RS18245	ABA1_RS18505	BJAB0715_RS19130	IOMTU433_RS00210	Aba3207_RS11145	RU84_RS00200	AB895_RS07135	C2U32_RS14065	P795_RS00200	
35	18	MFS transporter	1279779	ABD1_RS17265	0		ACX60_RS00200	ABD1_RS17265	RR41_RS00200	AB987_RS07640	BS103_RS17450	B7L46_RS08650	IX88_RS01980	A4U85_RS00205	ABCIP7010_RS17995	KAB07_RS18905	LX00_RS18240	ABA1_RS18500	BJAB0715_RS19125	IOMTU433_RS00215	Aba3207_RS11140	RU84_RS00205		C2U32_RS14060	P795_RS00205	
36	17	2,5-didehydrogluconate reductase DkgB	A1296	BS103_RS17445	0		ACX60_RS00205	ABD1_RS17260	RR41_RS00205		BS103_RS17445	B7L46_RS08645	IX88_RS01975	A4U85_RS00210	ABCIP7010_RS17990	KAB07_RS18900	LX00_RS18235	ABA1_RS18495	BJAB0715_RS19120	IOMTU433_RS00220	Aba3207_RS11135	RU84_RS00210		C2U32_RS14055	P795_RS00210	
37	18	LysR family transcriptional regulator	1279779	ABD1_RS17255	0		ACX60_RS00210	ABD1_RS17255	RR41_RS00210	AB987_RS07650	BS103_RS17440	B7L46_RS08640	IX88_RS01970	A4U85_RS00215	ABCIP7010_RS17985	KAB07_RS18895	LX00_RS18230	ABA1_RS18490	BJAB0715_RS19115	IOMTU433_RS00225	Aba3207_RS11130	RU84_RS00215		C2U32_RS14050	P795_RS00215	
38	19	hypothetical protein	HWBA8	B7L46_RS08635	0		ACX60_RS00215	ABD1_RS17250	RR41_RS00215	AB987_RS07655	BS103_RS17435	B7L46_RS08635	IX88_RS01965	A4U85_RS00220	ABCIP7010_RS17980	KAB07_RS18890	LX00_RS18225	ABA1_RS18485	BJAB0715_RS19110	IOMTU433_RS00230	Aba3207_RS11125	RU84_RS00220	AB895_RS07125	C2U32_RS14045	P795_RS00220	
39	19	PLP-dependent aminotransferase family protein	bH12OA2	LX00_RS18220	0		ACX60_RS00220	ABD1_RS17245	RR41_RS00220	AB987_RS07665	BS103_RS17425	B7L46_RS08630	IX88_RS01960	A4U85_RS00225	ABCIP7010_RS17975	KAB07_RS18885	LX00_RS18220	ABA1_RS18480	BJAB0715_RS19105	IOMTU433_RS00235	Aba3207_RS11120	RU84_RS00225	AB895_RS07115	C2U32_RS14035	P795_RS00225	
40	19	NAD(P)-dependent alcohol dehydrogenase	1279779	ABD1_RS17240	0		ACX60_RS00225	ABD1_RS17240	RR41_RS00225	AB987_RS07670	BS103_RS17420	B7L46_RS08625	IX88_RS01955	A4U85_RS00230	ABCIP7010_RS17970	KAB07_RS18880	LX00_RS18215	ABA1_RS18475	BJAB0715_RS19100	IOMTU433_RS00240	Aba3207_RS11115	RU84_RS00230	AB895_RS07110	C2U32_RS14030	P795_RS00230	
41	19	DNA-3-methyladenine glycosylase I	A1	ABA1_RS18470	0		ACX60_RS00230	ABD1_RS17235	RR41_RS00230	AB987_RS07675	BS103_RS17415	B7L46_RS08620	IX88_RS01950	A4U85_RS00235	ABCIP7010_RS17965	KAB07_RS18875	LX00_RS18210	ABA1_RS18470	BJAB0715_RS19095	IOMTU433_RS00245	Aba3207_RS11110	RU84_RS00235	AB895_RS07105	C2U32_RS14025	P795_RS00235	
42	19	hypothetical protein	7978mff	ACX60_RS00235	0		ACX60_RS00235	ABD1_RS17230	RR41_RS00235	AB987_RS07680	BS103_RS17410	B7L46_RS08615	IX88_RS01945	A4U85_RS00240	ABCIP7010_RS17960	KAB07_RS18870	LX00_RS18205	ABA1_RS18465	BJAB0715_RS19090	IOMTU433_RS00250	Aba3207_RS11105	RU84_RS00240	AB895_RS07100	C2U32_RS14020	P795_RS00240	
43	19	M23 family peptidase	LAC4b	RR41_RS00240	0		ACX60_RS00240	ABD1_RS17225	RR41_RS00240	AB987_RS07685	BS103_RS17405	B7L46_RS08610	IX88_RS01940	A4U85_RS00245	ABCIP7010_RS17955	KAB07_RS18865	LX00_RS18200	ABA1_RS18460	BJAB0715_RS19085	IOMTU433_RS00255	Aba3207_RS11100	RU84_RS00245	AB895_RS07095	C2U32_RS14015	P795_RS00245	
44	19	A/G-specific adenine glycosylase	7978mff	ACX60_RS00245	0		ACX60_RS00245	ABD1_RS17220	RR41_RS00245	AB987_RS07690	BS103_RS17400	B7L46_RS08605	IX88_RS01935	A4U85_RS00250	ABCIP7010_RS17950	KAB07_RS18860	LX00_RS18195	ABA1_RS18455	BJAB0715_RS19080	IOMTU433_RS00260	Aba3207_RS11095	RU84_RS00250	AB895_RS07090	C2U32_RS14010	P795_RS00250	
45	19	HIT family protein	7978mff	ACX60_RS00250	0		ACX60_RS00250	ABD1_RS17215	RR41_RS00250	AB987_RS07695	BS103_RS17395	B7L46_RS08600	IX88_RS01930	A4U85_RS00255	ABCIP7010_RS17945	KAB07_RS18855	LX00_RS18190	ABA1_RS18450	BJAB0715_RS19075	IOMTU433_RS00265	Aba3207_RS11090	RU84_RS00255	AB895_RS07085	C2U32_RS14005	P795_RS00255	
46	19	dienelactone hydrolase family protein	7978mff	ACX60_RS00255	0		ACX60_RS00255	ABD1_RS17210	RR41_RS00255	AB987_RS07700	BS103_RS17390	B7L46_RS08595	IX88_RS01925	A4U85_RS00260	ABCIP7010_RS17940	KAB07_RS18850	LX00_RS18185	ABA1_RS18445	BJAB0715_RS19070	IOMTU433_RS00270	Aba3207_RS11085	RU84_RS00260	AB895_RS07080	C2U32_RS14000	P795_RS00260	
47	19	DUF1328 domain-containing protein	7978mff	ACX60_RS00260	0		ACX60_RS00260	ABD1_RS17205	RR41_RS00260	AB987_RS07705	BS103_RS17385	B7L46_RS08590	IX88_RS01920	A4U85_RS00265	ABCIP7010_RS17935	KAB07_RS18845	LX00_RS18180	ABA1_RS18440	BJAB0715_RS19065	IOMTU433_RS00275	Aba3207_RS11080	RU84_RS00265	AB895_RS07075	C2U32_RS13995	P795_RS00265	
48	19	YcgN family cysteine cluster protein	7978mff	ACX60_RS00265	0		ACX60_RS00265	ABD1_RS17200	RR41_RS00265	AB987_RS07710	BS103_RS17380	B7L46_RS08585	IX88_RS01915	A4U85_RS00270	ABCIP7010_RS17930	KAB07_RS18840	LX00_RS18175	ABA1_RS18435	BJAB0715_RS19060	IOMTU433_RS00280	Aba3207_RS11075	RU84_RS00270	AB895_RS07070	C2U32_RS13990	P795_RS00270	
49	19	PQQ-dependent sugar dehydrogenase	7978mff	ACX60_RS00270	0		ACX60_RS00270	ABD1_RS17195	RR41_RS00270	AB987_RS07715	BS103_RS17375	B7L46_RS08580	IX88_RS01910	A4U85_RS00275	ABCIP7010_RS17925	KAB07_RS18835	LX00_RS18170	ABA1_RS18430	BJAB0715_RS19055	IOMTU433_RS00285	Aba3207_RS11070	RU84_RS00275	AB895_RS07065	C2U32_RS13985	P795_RS00275	
50	19	replication-associated recombination protein A	LAC4b	RR41_RS00275	0		ACX60_RS00275	ABD1_RS17190	RR41_RS00275	AB987_RS07720	BS103_RS17370	B7L46_RS08575	IX88_RS01905	A4U85_RS00280	ABCIP7010_RS17920	KAB07_RS18830	LX00_RS18165	ABA1_RS18425	BJAB0715_RS19050	IOMTU433_RS00290	Aba3207_RS11065	RU84_RS00280	AB895_RS07060	C2U32_RS13980	P795_RS00280	
51	18	formate/nitrite transporter family protein	A1296	BS103_RS17365	0		ACX60_RS00280	ABD1_RS17185	RR41_RS00280	AB987_RS07725	BS103_RS17365	B7L46_RS08570	IX88_RS01900	A4U85_RS00285	ABCIP7010_RS17915	KAB07_RS18825	LX00_RS18160	ABA1_RS18420	BJAB0715_RS19045		Aba3207_RS11060	RU84_RS00285	AB895_RS07055	C2U32_RS13975	P795_RS00285	
52	19	hypothetical protein	7978mff	ACX60_RS00285	0		ACX60_RS00285	ABD1_RS17180	RR41_RS00285	AB987_RS07730	BS103_RS17360	B7L46_RS08565	IX88_RS01895	A4U85_RS00290	ABCIP7010_RS17910	KAB07_RS18820	LX00_RS18155	ABA1_RS18415	BJAB0715_RS19040	IOMTU433_RS00300	Aba3207_RS11055	RU84_RS00290	AB895_RS07050	C2U32_RS13970	P795_RS00290	
53	19	phosphoribosylaminoimidazolesuccinocarboxamide synthase	7978mff	ACX60_RS00290	0		ACX60_RS00290	ABD1_RS17175	RR41_RS00290	AB987_RS07735	BS103_RS17355	B7L46_RS08560	IX88_RS01890	A4U85_RS00295	ABCIP7010_RS17905	KAB07_RS18815	LX00_RS18150	ABA1_RS18410	BJAB0715_RS19035	IOMTU433_RS00305	Aba3207_RS11050	RU84_RS00295	AB895_RS07045	C2U32_RS13965	P795_RS00295	
54	19	hypothetical protein	7978mff	ACX60_RS00295	0		ACX60_RS00295	ABD1_RS17170	RR41_RS00295	AB987_RS07740	BS103_RS17350	B7L46_RS08555	IX88_RS01885	A4U85_RS00300	ABCIP7010_RS17900	KAB07_RS18810	LX00_RS18145	ABA1_RS18405	BJAB0715_RS19030	IOMTU433_RS00310	Aba3207_RS11045	RU84_RS00300	AB895_RS07040	C2U32_RS13960	P795_RS00300	
55	19	4-hydroxy-tetrahydrodipicolinate synthase	7978mff	ACX60_RS00300	0		ACX60_RS00300	ABD1_RS17165	RR41_RS00300	AB987_RS07745	BS103_RS17345	B7L46_RS08550	IX88_RS01880	A4U85_RS00305	ABCIP7010_RS17895	KAB07_RS18805	LX00_RS18140	ABA1_RS18400	BJAB0715_RS19025	IOMTU433_RS00315	Aba3207_RS11040	RU84_RS00305	AB895_RS07035	C2U32_RS13955	P795_RS00305	
56	19	bifunctional nicotinamidase/pyrazinamidase	bH12OA2	LX00_RS18135	0		ACX60_RS00305	ABD1_RS17160	RR41_RS00305	AB987_RS07750	BS103_RS17340	B7L46_RS08545	IX88_RS01875	A4U85_RS00310	ABCIP7010_RS17890	KAB07_RS18800	LX00_RS18135	ABA1_RS18395	BJAB0715_RS19020	IOMTU433_RS00320	Aba3207_RS11035	RU84_RS00310	AB895_RS07030	C2U32_RS13950	P795_RS00310	
57	19	bile acid:sodium symporter family protein	7978mff	ACX60_RS00310	0		ACX60_RS00310	ABD1_RS17155	RR41_RS00310	AB987_RS07755	BS103_RS17335	B7L46_RS08540	IX88_RS01870	A4U85_RS00315	ABCIP7010_RS17885	KAB07_RS18795	LX00_RS18130	ABA1_RS18390	BJAB0715_RS19015	IOMTU433_RS00325	Aba3207_RS11030	RU84_RS00315	AB895_RS07025	C2U32_RS13945	P795_RS00315	
58	16	MATE family efflux transporter	6200	RU84_RS00320	0		ACX60_RS00315	ABD1_RS17150	RR41_RS00315			B7L46_RS08535	IX88_RS01865		ABCIP7010_RS17880	KAB07_RS18790	LX00_RS18125	ABA1_RS18385	BJAB0715_RS19010	IOMTU433_RS00330	Aba3207_RS11025	RU84_RS00320	AB895_RS07020	C2U32_RS13940	P795_RS00320	
59	19	DUF523 domain-containing protein	AB031	IX88_RS01860	0		ACX60_RS00320	ABD1_RS17145	RR41_RS00320	AB987_RS07765	BS103_RS17310	B7L46_RS08530	IX88_RS01860	A4U85_RS00325	ABCIP7010_RS17875	KAB07_RS18785	LX00_RS18120	ABA1_RS18380	BJAB0715_RS19005	IOMTU433_RS00335	Aba3207_RS11020	RU84_RS00325	AB895_RS07015	C2U32_RS13935	P795_RS00325	
60	19	4-hydroxyphenylpyruvate dioxygenase	7978mff	ACX60_RS00325	0		ACX60_RS00325	ABD1_RS17140	RR41_RS00325	AB987_RS07770	BS103_RS17305	B7L46_RS08525	IX88_RS01855	A4U85_RS00330	ABCIP7010_RS17870	KAB07_RS18780	LX00_RS18115	ABA1_RS18375	BJAB0715_RS19000	IOMTU433_RS00340	Aba3207_RS11015	RU84_RS00330	AB895_RS07010	C2U32_RS13930	P795_RS00330	
61	19	IclR family transcriptional regulator	7978mff	ACX60_RS00330	0		ACX60_RS00330	ABD1_RS17135	RR41_RS00330	AB987_RS07775	BS103_RS17300	B7L46_RS08520	IX88_RS01850	A4U85_RS00335	ABCIP7010_RS17865	KAB07_RS18775	LX00_RS18110	ABA1_RS18370	BJAB0715_RS18995	IOMTU433_RS00345	Aba3207_RS11010	RU84_RS00335	AB895_RS07005	C2U32_RS13925	P795_RS00335	
